id,internal_order_number,online_order_number,store_name,full_channel_user_id,shipping_date,payment_date,payable_amount,paid_amount,status,consignee,spu,order_time,province,city,platform,sub_order_number,online_sub_order_number,original_online_order_number,sku,quantity,unit_price,product_name,color_and_spec,product_amount,original_price,is_gift,sub_order_status,refund_status,registered_quantity,actual_refund_quantity,brand
14,ORD-56078302,ONL-3588079926,拼多多专卖店,USER-34575,2024-08-15 01:28:00,2024-08-12 01:28:00,1251.52,1251.52,已取消,马帅,SPU-H&-T恤,2024-08-11 19:28:00,四川省,宜宾市,唯品会,SUB-56078302-711,SONL-3588079926-103,ONL-3588079926,SM-4352,3,349.19,H&M T恤 (红色/XL),红色/XL,1047.57,1251.52,否,已取消,无退款,3,0,H&M
15,ORD-43980572,ONL-5421750098,天猫旗舰店,USER-87208,2024-03-31 08:19:00,2024-03-30 08:19:00,654.48,654.48,已发货,孙玲,SPU-李宁-卫衣,2024-03-29 16:19:00,湖北省,宜昌市,京东,SUB-43980572-746,SONL-5421750098-618,ONL-5421750098,HM-4720,4,130.51,李宁 卫衣 (蓝色/XL),蓝色/XL,522.04,654.48,否,已发货,待审核,4,0,李宁
16,ORD-45150687,ONL-9239813219,唯品会特卖店,USER-52496,2024-05-05 22:50:00,2024-05-02 22:50:00,3593.43,3593.43,已发货,许刚,SPU-阿迪-衬衫,2024-05-02 16:50:00,河南省,洛阳市,唯品会,SUB-45150687-216,SONL-9239813219-846,ONL-9239813219,UN-2767,1,1940.95,阿迪达斯 衬衫 (卡其色/S),卡其色/S,1940.95,3593.43,否,已发货,待审核,1,0,阿迪达斯
17,ORD-84658505,ONL-1586686092,天猫旗舰店,USER-72871,2024-07-10 07:55:00,2024-07-07 07:55:00,2704.67,2704.67,待发货,马成,SPU-耐克-连衣,2024-07-07 06:55:00,四川省,宜宾市,拼多多,SUB-84658505-872,SONL-1586686092-904,ONL-1586686092,AD-1143,4,574.03,耐克 连衣裙 (紫色/均码),紫色/均码,2296.12,2704.67,否,待发货,无退款,4,0,耐克
18,ORD-72948147,ONL-7675329180,拼多多专卖店,USER-23584,2024-11-14 15:36:00,2024-11-13 15:36:00,13599.96,13599.96,待发货,朱秀兰,SPU-耐克-牛仔,2024-11-13 12:36:00,广东省,广州市,天猫,SUB-72948147-106,SONL-7675329180-362,ONL-7675329180,UN-1814,3,2660.62,耐克 牛仔裤 (粉色/均码),粉色/均码,7981.86,13599.96,否,待发货,已退款,3,3,耐克
19,ORD-29793008,ONL-6789127624,抖音直播间,USER-84971,2024-09-30 20:31:00,2024-09-29 20:31:00,7074.58,7074.58,已取消,马杨,SPU-李宁-卫衣,2024-09-29 18:31:00,山东省,青岛市,抖音电商,SUB-29793008-987,SONL-6789127624-745,ONL-6789127624,LN-1284,2,2738.69,李宁 卫衣 (白色/L),白色/L,5477.38,7074.58,否,已取消,已退款,2,2,李宁
20,ORD-51539166,ONL-9362533645,唯品会特卖店,USER-70617,2024-05-30 03:49:00,2024-05-27 03:49:00,3112.49,3112.49,已完成,穆建国,SPU-以纯-T恤,2024-05-26 04:49:00,河南省,开封市,京东,SUB-51539166-452,SONL-9362533645-485,ONL-9362533645,MT-5038,2,892.96,以纯 T恤 (黄色/XXXL),黄色/XXXL,1785.92,3112.49,是,已完成,退款失败,2,0,以纯
21,ORD-30235725,ONL-6906529959,天猫旗舰店,USER-86299,2024-01-25 18:29:00,2024-01-22 18:29:00,3134.27,3134.27,已发货,黄利,SPU-以纯-卫衣,2024-01-21 21:29:00,河南省,洛阳市,线下,SUB-30235725-260,SONL-6906529959-490,ONL-6906529959,HM-6679,5,568.87,以纯 卫衣 (红色/XXXL),红色/XXXL,2844.35,3134.27,否,已发货,无退款,5,0,以纯
22,ORD-41629134,ONL-9971757632,唯品会特卖店,USER-25265,2024-05-07 12:35:00,2024-05-05 12:35:00,7058.61,7058.61,已发货,魏杰,SPU-优衣-T恤,2024-05-05 12:35:00,广东省,东莞市,拼多多,SUB-41629134-939,SONL-9971757632-332,ONL-9971757632,ZR-4833,5,854.73,优衣库 T恤 (红色/XXXL),红色/XXXL,4273.65,7058.61,否,已发货,无退款,5,0,优衣库
23,ORD-98701653,ONL-5025005948,抖音直播间,USER-54095,2024-02-09 13:03:00,2024-02-08 13:03:00,2243.75,1811.41,已取消,陈洁,SPU-H&-卫衣,2024-02-07 15:03:00,江苏省,南京市,唯品会,SUB-98701653-175,SONL-5025005948-143,ONL-5025005948,SM-2859,2,990.72,H&M 卫衣 (黑色/S),黑色/S,1981.44,2243.75,是,已取消,已退款,2,2,H&M
24,ORD-57506998,ONL-8330040881,唯品会特卖店,USER-38535,2024-11-27 05:54:00,2024-11-24 05:54:00,5617.35,5617.35,已发货,贺利,SPU-李宁-毛衣,2024-11-23 16:54:00,四川省,德阳市,线下,SUB-57506998-479,SONL-8330040881-225,ONL-8330040881,ZR-2227,3,1062.86,李宁 毛衣 (灰色/S),灰色/S,3188.58,5617.35,是,已发货,退款失败,3,0,李宁
25,ORD-60128239,ONL-2639807265,天猫旗舰店,USER-85345,2024-10-02 09:49:00,2024-09-30 09:49:00,8530.75,8530.75,已发货,张涛,SPU-以纯-风衣,2024-09-30 08:49:00,江苏省,常州市,线下,SUB-60128239-515,SONL-2639807265-568,ONL-2639807265,YC-9367,5,1485.7,以纯 风衣 (紫色/L),紫色/L,7428.5,8530.75,否,已发货,退款失败,5,0,以纯
26,ORD-56446170,ONL-7070153697,唯品会特卖店,USER-43018,2024-02-04 17:00:00,2024-02-02 17:00:00,2765.75,2765.75,已取消,张慧,SPU-阿迪-卫衣,2024-02-02 12:00:00,四川省,成都市,京东,SUB-56446170-659,SONL-7070153697-314,ONL-7070153697,YC-3568,1,2398.85,阿迪达斯 卫衣 (白色/L),白色/L,2398.85,2765.75,否,已取消,退款失败,1,0,阿迪达斯
27,ORD-14336302,ONL-1689631755,抖音直播间,USER-92016,2024-09-26 02:48:00,2024-09-23 02:48:00,424.18,424.18,已取消,李畅,SPU-优衣-T恤,2024-09-22 08:48:00,湖南省,湘潭市,唯品会,SUB-14336302-913,SONL-1689631755-567,ONL-1689631755,NK-8203,3,130.54,优衣库 T恤 (黑色/XXL),黑色/XXL,391.62,424.18,否,已取消,无退款,3,0,优衣库
28,ORD-90107967,ONL-3321167940,京东自营店,USER-18071,2024-05-28 01:56:00,2024-05-27 01:56:00,2628.82,2628.82,已发货,叶倩,SPU-耐克-衬衫,2024-05-26 08:56:00,山东省,烟台市,天猫,SUB-90107967-126,SONL-3321167940-868,ONL-3321167940,YC-8232,1,1675.55,耐克 衬衫 (黄色/XL),黄色/XL,1675.55,2628.82,否,已发货,已退款,1,1,耐克
29,ORD-83314428,ONL-7707236840,抖音直播间,USER-47254,2024-07-01 22:31:00,2024-06-29 22:31:00,3519.27,3519.27,已发货,马明,SPU-森马-连衣,2024-06-29 09:31:00,广东省,深圳市,唯品会,SUB-83314428-906,SONL-7707236840-189,ONL-7707236840,AD-5483,1,1982.25,森马 连衣裙 (卡其色/S),卡其色/S,1982.25,3519.27,否,已发货,待审核,1,0,森马
30,ORD-35416130,ONL-1957344837,京东自营店,USER-21765,2024-05-22 00:29:00,2024-05-20 00:29:00,1164.44,1164.44,已发货,王雷,SPU-以纯-衬衫,2024-05-19 09:29:00,河南省,郑州市,线下,SUB-35416130-816,SONL-1957344837-361,ONL-1957344837,ZR-1417,1,597.97,以纯 衬衫 (红色/XL),红色/XL,597.97,1164.44,否,已发货,待审核,1,0,以纯
31,ORD-65501807,ONL-1951229067,拼多多专卖店,USER-12204,2024-10-08 23:40:00,2024-10-05 23:40:00,8240.39,8240.39,已取消,唐雪梅,SPU-李宁-牛仔,2024-10-05 13:40:00,广东省,佛山市,拼多多,SUB-65501807-351,SONL-1951229067-868,ONL-1951229067,NK-9524,4,1669.41,李宁 牛仔裤 (黑色/XXXL),黑色/XXXL,6677.64,8240.39,否,已取消,无退款,4,0,李宁
32,ORD-31234748,ONL-4299600221,天猫旗舰店,USER-77941,2024-02-14 04:57:00,2024-02-11 04:57:00,1644.91,1644.91,已完成,丁秀华,SPU-美特-T恤,2024-02-10 18:57:00,四川省,绵阳市,线下,SUB-31234748-180,SONL-4299600221-833,ONL-4299600221,NK-3454,3,474.05,美特斯邦威 T恤 (蓝色/XXXL),蓝色/XXXL,1422.15,1644.91,否,已完成,待审核,3,0,美特斯邦威
33,ORD-34410561,ONL-1455006774,京东自营店,USER-60365,2024-08-15 07:41:00,2024-08-12 07:41:00,5524.38,5524.38,已完成,王淑华,SPU-耐克-T恤,2024-08-11 16:41:00,河南省,洛阳市,拼多多,SUB-34410561-474,SONL-1455006774-779,ONL-1455006774,NK-2347,2,2129.81,耐克 T恤 (白色/L),白色/L,4259.62,5524.38,是,已完成,无退款,2,0,耐克
34,ORD-55481677,ONL-7696312126,拼多多专卖店,USER-27854,2024-11-26 21:47:00,2024-11-24 21:47:00,13453.81,13453.81,已完成,徐兰英,SPU-优衣-卫衣,2024-11-24 21:47:00,北京市,北京市,抖音电商,SUB-55481677-107,SONL-7696312126-170,ONL-7696312126,NK-5588,5,1514.74,优衣库 卫衣 (粉色/均码),粉色/均码,7573.7,13453.81,否,已完成,无退款,5,0,优衣库
35,ORD-72411592,ONL-5212877850,拼多多专卖店,USER-44957,2024-06-05 09:23:00,2024-06-03 09:23:00,4226.19,4226.19,待发货,金莹,SPU-ZA-衬衫,2024-06-02 19:23:00,湖南省,湘潭市,拼多多,SUB-72411592-723,SONL-5212877850-701,ONL-5212877850,AN-2444,3,886.0,ZARA 衬衫 (黑色/均码),黑色/均码,2658.0,4226.19,否,待发货,无退款,3,0,ZARA
36,ORD-39973011,ONL-2278578127,唯品会特卖店,USER-92496,2024-07-08 13:29:00,2024-07-06 13:29:00,2806.31,1951.75,退款中,陈建平,SPU-阿迪-T恤,2024-07-06 07:29:00,山东省,烟台市,天猫,SUB-39973011-164,SONL-2278578127-902,ONL-2278578127,MT-9117,2,1332.98,阿迪达斯 T恤 (蓝色/XXL),蓝色/XXL,2665.96,2806.31,否,退款中,退款失败,2,0,阿迪达斯
37,ORD-97615033,ONL-8964247905,京东自营店,USER-76047,2024-06-03 06:48:00,2024-06-02 06:48:00,2731.55,2731.55,待发货,徐伟,SPU-美特-卫衣,2024-06-01 18:48:00,广东省,广州市,拼多多,SUB-97615033-850,SONL-8964247905-717,ONL-8964247905,MT-1521,1,1766.09,美特斯邦威 卫衣 (绿色/XL),绿色/XL,1766.09,2731.55,否,待发货,无退款,1,0,美特斯邦威
38,ORD-59707382,ONL-6881443587,天猫旗舰店,USER-89885,2024-05-15 18:18:00,2024-05-12 18:18:00,3754.62,3754.62,已完成,曹丽华,SPU-耐克-衬衫,2024-05-12 18:18:00,湖南省,湘潭市,京东,SUB-59707382-159,SONL-6881443587-820,ONL-6881443587,MT-9182,1,1979.38,耐克 衬衫 (绿色/XXXL),绿色/XXXL,1979.38,3754.62,否,已完成,待审核,1,0,耐克
39,ORD-26634457,ONL-4406221774,唯品会特卖店,USER-48236,2024-09-15 02:11:00,2024-09-12 02:11:00,9552.77,5955.24,退款中,李秀英,SPU-阿迪-T恤,2024-09-11 08:11:00,湖北省,宜昌市,拼多多,SUB-26634457-662,SONL-4406221774-251,ONL-4406221774,AN-2703,3,2588.65,阿迪达斯 T恤 (绿色/XL),绿色/XL,7765.95,9552.77,否,退款中,退款失败,3,0,阿迪达斯
40,ORD-81993585,ONL-3655749032,抖音直播间,USER-72318,2024-07-23 22:36:00,2024-07-22 22:36:00,2422.26,2422.26,已取消,李莹,SPU-李宁-连衣,2024-07-22 08:36:00,河南省,新乡市,唯品会,SUB-81993585-979,SONL-3655749032-938,ONL-3655749032,ZR-7937,1,1927.93,李宁 连衣裙 (黑色/S),黑色/S,1927.93,2422.26,否,已取消,无退款,1,0,李宁
41,ORD-35761166,ONL-8250773361,拼多多专卖店,USER-48890,2024-03-04 15:55:00,2024-03-02 15:55:00,415.68,415.68,已发货,王柳,SPU-优衣-衬衫,2024-03-02 11:55:00,山东省,潍坊市,拼多多,SUB-35761166-873,SONL-8250773361-813,ONL-8250773361,LN-5379,2,184.63,优衣库 衬衫 (黑色/XL),黑色/XL,369.26,415.68,是,已发货,待审核,2,0,优衣库
42,ORD-55597014,ONL-6559709887,京东自营店,USER-78262,2024-09-17 22:04:00,2024-09-15 22:04:00,1751.01,1751.01,已发货,刘斌,SPU-耐克-牛仔,2024-09-15 17:04:00,湖北省,宜昌市,唯品会,SUB-55597014-501,SONL-6559709887-308,ONL-6559709887,LN-3976,2,793.89,耐克 牛仔裤 (蓝色/L),蓝色/L,1587.78,1751.01,否,已发货,已退款,2,2,耐克
43,ORD-80502557,ONL-3066089329,唯品会特卖店,USER-54178,2024-04-17 00:21:00,2024-04-15 00:21:00,8955.71,6768.77,退款中,张勇,SPU-耐克-卫衣,2024-04-14 20:21:00,河南省,郑州市,拼多多,SUB-80502557-245,SONL-3066089329-889,ONL-3066089329,HM-9248,5,1480.95,耐克 卫衣 (绿色/XXL),绿色/XXL,7404.75,8955.71,否,退款中,无退款,5,0,耐克
44,ORD-59411915,ONL-8798901070,京东自营店,USER-35732,2024-08-24 15:24:00,2024-08-22 15:24:00,11027.91,9745.13,已取消,卢淑英,SPU-耐克-T恤,2024-08-21 17:24:00,湖北省,武汉市,线下,SUB-59411915-965,SONL-8798901070-100,ONL-8798901070,MT-9318,5,1810.75,耐克 T恤 (灰色/均码),灰色/均码,9053.75,11027.91,否,已取消,退款失败,5,0,耐克
45,ORD-64679812,ONL-2063714362,抖音直播间,USER-78882,2024-11-18 13:51:00,2024-11-16 13:51:00,3110.17,3110.17,已发货,陈坤,SPU-李宁-风衣,2024-11-15 21:51:00,山东省,烟台市,天猫,SUB-64679812-519,SONL-2063714362-711,ONL-2063714362,AN-3662,2,929.21,李宁 风衣 (白色/XXXL),白色/XXXL,1858.42,3110.17,否,已发货,无退款,2,0,李宁
46,ORD-89566985,ONL-3075686959,天猫旗舰店,USER-34421,2024-10-14 09:49:00,2024-10-13 09:49:00,2093.74,2093.74,已完成,刘雪,SPU-阿迪-风衣,2024-10-12 11:49:00,湖南省,衡阳市,唯品会,SUB-89566985-201,SONL-3075686959-410,ONL-3075686959,YC-3501,1,1736.57,阿迪达斯 风衣 (粉色/L),粉色/L,1736.57,2093.74,否,已完成,无退款,1,0,阿迪达斯
47,ORD-12719621,ONL-7421589094,京东自营店,USER-20317,2024-09-25 02:36:00,2024-09-23 02:36:00,3257.82,3257.82,已取消,陈秀梅,SPU-李宁-牛仔,2024-09-22 19:36:00,上海市,上海市,线下,SUB-12719621-996,SONL-7421589094-339,ONL-7421589094,AN-8340,5,546.89,李宁 牛仔裤 (红色/S),红色/S,2734.45,3257.82,否,已取消,无退款,5,0,李宁
48,ORD-13940041,ONL-6531089635,京东自营店,USER-91689,2024-11-24 18:10:00,2024-11-21 18:10:00,5513.24,5513.24,已发货,张淑英,SPU-优衣-牛仔,2024-11-20 18:10:00,江苏省,无锡市,线下,SUB-13940041-516,SONL-6531089635-620,ONL-6531089635,HM-9926,4,721.86,优衣库 牛仔裤 (黑色/均码),黑色/均码,2887.44,5513.24,否,已发货,待审核,4,0,优衣库
49,ORD-53019578,ONL-2032954044,天猫旗舰店,USER-10111,2024-08-01 15:28:00,2024-07-31 15:28:00,1379.19,1379.19,已取消,周洋,SPU-优衣-卫衣,2024-07-30 17:28:00,浙江省,杭州市,线下,SUB-53019578-121,SONL-2032954044-156,ONL-2032954044,YC-4506,2,633.59,优衣库 卫衣 (灰色/M),灰色/M,1267.18,1379.19,否,已取消,待审核,2,0,优衣库
50,ORD-55618634,ONL-9304902004,天猫旗舰店,USER-93577,2024-11-13 22:59:00,2024-11-10 22:59:00,23886.79,23886.79,已发货,田桂香,SPU-耐克-毛衣,2024-11-09 23:59:00,广东省,东莞市,唯品会,SUB-55618634-193,SONL-9304902004-700,ONL-9304902004,YC-4231,4,3153.46,耐克 毛衣 (灰色/S),灰色/S,12613.84,23886.79,否,已发货,退款失败,4,0,耐克
51,ORD-48227559,ONL-6013823219,京东自营店,USER-60166,2024-08-08 08:01:00,2024-08-05 08:01:00,1603.5,1603.5,已完成,朱淑英,SPU-以纯-卫衣,2024-08-04 08:01:00,北京市,北京市,唯品会,SUB-48227559-918,SONL-6013823219-596,ONL-6013823219,YC-5958,4,362.53,以纯 卫衣 (灰色/S),灰色/S,1450.12,1603.5,否,已完成,已退款,4,4,以纯
52,ORD-98582366,ONL-5806115053,唯品会特卖店,USER-55836,2024-07-28 23:10:00,2024-07-25 23:10:00,3534.29,3534.29,待发货,马亮,SPU-李宁-T恤,2024-07-25 19:10:00,河南省,郑州市,天猫,SUB-98582366-877,SONL-5806115053-295,ONL-5806115053,AD-9870,1,2917.95,李宁 T恤 (白色/M),白色/M,2917.95,3534.29,否,待发货,已退款,1,1,李宁
53,ORD-29057895,ONL-8200043807,拼多多专卖店,USER-18004,2024-10-14 11:10:00,2024-10-13 11:10:00,5471.52,5471.52,已完成,程秀华,SPU-李宁-毛衣,2024-10-12 13:10:00,江苏省,无锡市,线下,SUB-29057895-182,SONL-8200043807-898,ONL-8200043807,LN-9863,2,2489.36,李宁 毛衣 (灰色/M),灰色/M,4978.72,5471.52,否,已完成,已退款,2,2,李宁
54,ORD-42861632,ONL-4568021132,天猫旗舰店,USER-96390,2024-11-13 15:14:00,2024-11-10 15:14:00,6782.11,6782.11,已完成,汪秀荣,SPU-以纯-衬衫,2024-11-10 11:14:00,山东省,青岛市,京东,SUB-42861632-623,SONL-4568021132-914,ONL-4568021132,AN-2055,3,1452.31,以纯 衬衫 (紫色/L),紫色/L,4356.93,6782.11,否,已完成,待审核,3,0,以纯
55,ORD-30903895,ONL-1354238353,唯品会特卖店,USER-50828,2024-12-10 05:07:00,2024-12-09 05:07:00,5863.64,5863.64,已发货,阎俊,SPU-李宁-衬衫,2024-12-08 09:07:00,四川省,德阳市,京东,SUB-30903895-103,SONL-1354238353-839,ONL-1354238353,NK-7765,4,1244.95,李宁 衬衫 (粉色/XL),粉色/XL,4979.8,5863.64,否,已发货,无退款,4,0,李宁
56,ORD-85920587,ONL-7716044872,抖音直播间,USER-22460,2024-04-11 04:58:00,2024-04-09 04:58:00,2338.04,1578.05,已取消,张志强,SPU-H&-卫衣,2024-04-08 18:58:00,湖北省,宜昌市,京东,SUB-85920587-366,SONL-7716044872-945,ONL-7716044872,UN-4588,1,1878.89,H&M 卫衣 (红色/M),红色/M,1878.89,2338.04,否,已取消,退款失败,1,0,H&M
57,ORD-19741281,ONL-6232202094,线下直营店,USER-46790,2024-11-11 18:49:00,2024-11-10 18:49:00,8776.21,8776.21,已完成,郭洁,SPU-优衣-风衣,2024-11-09 20:49:00,山东省,济南市,天猫,SUB-19741281-338,SONL-6232202094-468,ONL-6232202094,MT-5775,2,2381.13,优衣库 风衣 (卡其色/均码),卡其色/均码,4762.26,8776.21,否,已完成,已退款,2,2,优衣库
58,ORD-17262340,ONL-1295730125,唯品会特卖店,USER-76468,2024-07-07 02:57:00,2024-07-06 02:57:00,2495.23,2495.23,已发货,黄波,SPU-阿迪-卫衣,2024-07-05 18:57:00,上海市,上海市,唯品会,SUB-17262340-999,SONL-1295730125-693,ONL-1295730125,AD-5067,1,2233.56,阿迪达斯 卫衣 (粉色/L),粉色/L,2233.56,2495.23,否,已发货,待审核,1,0,阿迪达斯
59,ORD-71906053,ONL-4203357572,京东自营店,USER-27551,2024-04-03 00:35:00,2024-04-01 00:35:00,824.71,824.71,已完成,田丽丽,SPU-安踏-衬衫,2024-03-31 10:35:00,湖北省,荆州市,京东,SUB-71906053-675,SONL-4203357572-298,ONL-4203357572,LN-4083,5,148.42,安踏 衬衫 (粉色/XXXL),粉色/XXXL,742.1,824.71,否,已完成,待审核,5,0,安踏
60,ORD-62447881,ONL-6418622661,抖音直播间,USER-63455,2024-01-17 00:43:00,2024-01-15 00:43:00,5476.62,5476.62,已发货,李建军,SPU-耐克-卫衣,2024-01-14 20:43:00,浙江省,嘉兴市,天猫,SUB-62447881-899,SONL-6418622661-376,ONL-6418622661,MT-8169,4,1126.64,耐克 卫衣 (黄色/M),黄色/M,4506.56,5476.62,否,已发货,待审核,4,0,耐克
61,ORD-41214775,ONL-5570873951,线下直营店,USER-65207,2024-04-08 13:09:00,2024-04-06 13:09:00,5787.06,5787.06,待发货,高杨,SPU-阿迪-衬衫,2024-04-05 23:09:00,河南省,郑州市,唯品会,SUB-41214775-201,SONL-5570873951-174,ONL-5570873951,NK-8674,2,2404.77,阿迪达斯 衬衫 (灰色/L),灰色/L,4809.54,5787.06,否,待发货,已退款,2,2,阿迪达斯
62,ORD-72292195,ONL-8668647905,抖音直播间,USER-14895,2024-10-12 16:21:00,2024-10-11 16:21:00,12993.81,12993.81,已发货,杨峰,SPU-耐克-牛仔,2024-10-11 08:21:00,湖北省,荆州市,线下,SUB-72292195-158,SONL-8668647905-151,ONL-8668647905,SM-5888,5,2164.29,耐克 牛仔裤 (卡其色/M),卡其色/M,10821.45,12993.81,是,已发货,退款失败,5,0,耐克
63,ORD-81162946,ONL-8977645500,天猫旗舰店,USER-61626,2024-09-21 16:03:00,2024-09-18 16:03:00,908.46,908.46,已完成,李磊,SPU-森马-衬衫,2024-09-18 12:03:00,山东省,济南市,线下,SUB-81162946-596,SONL-8977645500-149,ONL-8977645500,HM-9819,2,405.83,森马 衬衫 (绿色/XXXL),绿色/XXXL,811.66,908.46,否,已完成,退款失败,2,0,森马
64,ORD-46536039,ONL-9757951376,京东自营店,USER-13271,2024-12-03 20:13:00,2024-11-30 20:13:00,2297.6,2297.6,已发货,谢刚,SPU-H&-衬衫,2024-11-30 09:13:00,湖北省,宜昌市,天猫,SUB-46536039-873,SONL-9757951376-710,ONL-9757951376,UN-5763,2,671.3,H&M 衬衫 (灰色/XXL),灰色/XXL,1342.6,2297.6,否,已发货,无退款,2,0,H&M
